Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2010-01-04 00:00:00+05:30,196.4792825796746,196.4792825796746,189.91603335642003,191.92263793945312,68265,0.0,0.0,NILKAMAL.NS
2010-01-05 00:00:00+05:30,194.80716859661868,215.62561198308737,194.80716859661868,206.0106658935547,595577,0.0,0.0,NILKAMAL.NS
2010-01-06 00:00:00+05:30,208.76969478352683,219.72236247974408,206.93031674178656,215.3329315185547,503757,0.0,0.0,NILKAMAL.NS
2010-01-07 00:00:00+05:30,215.7092185423999,219.0535475120495,208.2262850243294,210.14927673339844,186562,0.0,0.0,NILKAMAL.NS
2010-01-08 00:00:00+05:30,211.90503346311098,214.8731278585925,204.84014134379441,206.6795196533203,164738,0.0,0.0,NILKAMAL.NS
2010-01-11 00:00:00+05:30,210.69272971866985,213.20097650103497,205.00736779378835,207.59922790527344,97485,0.0,0.0,NILKAMAL.NS
2010-01-12 00:00:00+05:30,208.18448848413115,209.77303971892061,204.42211821032157,204.7565460205078,48173,0.0,0.0,NILKAMAL.NS
2010-01-13 00:00:00+05:30,200.0744465286299,213.82799434661865,200.0744465286299,207.34835815429688,121838,0.0,0.0,NILKAMAL.NS
2010-01-14 00:00:00+05:30,210.8599224517344,221.1019418758303,209.8566263910267,218.1338348388672,211108,0.0,0.0,NILKAMAL.NS
2010-01-15 00:00:00+05:30,221.56178738469757,234.85548952473854,219.97323627630098,231.00950622558594,332426,0.0,0.0,NILKAMAL.NS
2010-01-18 00:00:00+05:30,233.3923938637318,238.11625426010693,216.210910970166,218.30111694335938,101094,0.0,0.0,NILKAMAL.NS
2010-01-19 00:00:00+05:30,220.14046329431034,226.57830732474963,210.0238749391697,216.2108917236328,84150,0.0,0.0,NILKAMAL.NS
2010-01-20 00:00:00+05:30,217.88303742506417,220.7257119455645,210.69272503894794,213.82803344726562,28344,0.0,0.0,NILKAMAL.NS
2010-01-21 00:00:00+05:30,211.1107830188708,226.07665124667207,206.17790249889703,210.52552795410156,129488,0.0,0.0,NILKAMAL.NS
2010-01-22 00:00:00+05:30,205.75989674006104,213.20102546704499,200.65978867486587,206.9722137451172,71955,0.0,0.0,NILKAMAL.NS
2010-01-25 00:00:00+05:30,207.43200568826182,211.98865127535262,202.83355343828717,205.09097290039062,14845,0.0,0.0,NILKAMAL.NS
2010-01-27 00:00:00+05:30,204.38030549914734,204.84015329275366,185.61026135098496,193.30221557617188,66462,0.0,0.0,NILKAMAL.NS
2010-01-28 00:00:00+05:30,194.13829769165633,199.74004626687687,185.61026121440685,190.6267547607422,24357,0.0,0.0,NILKAMAL.NS
2010-01-29 00:00:00+05:30,190.58496126727948,198.1097021068022,180.59378014854505,194.8907928466797,43371,0.0,0.0,NILKAMAL.NS
2010-02-01 00:00:00+05:30,193.13499759829455,204.42210784754553,190.91938476351964,201.16139221191406,28656,0.0,0.0,NILKAMAL.NS
2010-02-02 00:00:00+05:30,206.42865721782346,208.1844346613811,198.27685706542,200.61788940429688,18019,0.0,0.0,NILKAMAL.NS
2010-02-03 00:00:00+05:30,199.90727225544538,205.67623471138205,196.81375770614318,199.94906616210938,15801,0.0,0.0,NILKAMAL.NS
2010-02-04 00:00:00+05:30,203.19506929289358,206.56760156331504,194.3843313094554,199.52743530273438,14693,2.0,0.0,NILKAMAL.NS
2010-02-05 00:00:00+05:30,193.920654296875,195.90202264989847,187.17558806046196,193.920654296875,14123,0.0,0.0,NILKAMAL.NS
2010-02-08 00:00:00+05:30,193.92067159114777,201.50887178384485,193.92067159114777,196.36575317382812,10173,0.0,0.0,NILKAMAL.NS
2010-02-09 00:00:00+05:30,194.7637891769896,197.71475567967127,193.07752260402864,194.00497436523438,6173,0.0,0.0,NILKAMAL.NS
2010-02-10 00:00:00+05:30,196.4500593810965,205.7245257038092,194.25790764965078,198.7265167236328,31435,0.0,0.0,NILKAMAL.NS
2010-02-11 00:00:00+05:30,198.13628923267459,203.82743796595352,198.13628923267459,199.6960906982422,13493,0.0,0.0,NILKAMAL.NS
2010-02-15 00:00:00+05:30,196.87161012378107,204.8813758461619,195.69122874234918,198.68434143066406,15368,0.0,0.0,NILKAMAL.NS
2010-02-16 00:00:00+05:30,197.29315451672406,202.3519533504862,195.69120669877566,199.7382354736328,41023,0.0,0.0,NILKAMAL.NS
2010-02-17 00:00:00+05:30,201.59317429055707,206.60981478071233,199.40102259585734,200.24415588378906,61161,0.0,0.0,NILKAMAL.NS
2010-02-18 00:00:00+05:30,203.61673386309587,235.9930541014601,203.19516712631926,216.811767578125,2841749,0.0,0.0,NILKAMAL.NS
2010-02-19 00:00:00+05:30,215.42053121238317,224.9479260188598,206.06174760659047,209.3078155517578,757920,0.0,0.0,NILKAMAL.NS
2010-02-22 00:00:00+05:30,214.99897203613776,214.99897203613776,200.66570723372857,202.183349609375,177862,0.0,0.0,NILKAMAL.NS
2010-02-23 00:00:00+05:30,200.58139936543503,206.23040255471878,196.45005149719344,197.67259216308594,77429,0.0,0.0,NILKAMAL.NS
2010-02-24 00:00:00+05:30,197.20889718727622,205.13435886934099,190.54814847087655,195.48048400878906,117376,0.0,0.0,NILKAMAL.NS
2010-02-25 00:00:00+05:30,193.07748981369602,200.58136964291182,192.23435667040476,193.7519989013672,69674,0.0,0.0,NILKAMAL.NS
2010-02-26 00:00:00+05:30,193.7941983739203,198.0941705785023,191.01185585025345,193.07752990722656,89968,0.0,0.0,NILKAMAL.NS
2010-03-02 00:00:00+05:30,195.6069367316086,199.65397937495655,194.13145337264174,196.15496826171875,38432,0.0,0.0,NILKAMAL.NS
2010-03-03 00:00:00+05:30,197.7991018157668,213.3127513104488,195.64910906153557,206.1039581298828,236430,0.0,0.0,NILKAMAL.NS
2010-03-04 00:00:00+05:30,202.3519905005869,214.87252505888793,202.3519905005869,212.63821411132812,222827,0.0,0.0,NILKAMAL.NS
2010-03-05 00:00:00+05:30,214.91466263665873,217.90780114522605,206.6519669881662,209.34999084472656,58543,0.0,0.0,NILKAMAL.NS
2010-03-08 00:00:00+05:30,213.1440945645228,214.95682596030363,208.67548563248556,210.066650390625,53000,0.0,0.0,NILKAMAL.NS
2010-03-09 00:00:00+05:30,213.2705730181439,213.2705730181439,204.24904897000985,205.555908203125,40419,0.0,0.0,NILKAMAL.NS
2010-03-10 00:00:00+05:30,208.16960303416582,214.78820447110937,205.38727348429993,208.25392150878906,102127,0.0,0.0,NILKAMAL.NS
2010-03-11 00:00:00+05:30,207.6637470724913,211.41568791407926,204.45983776336678,206.4833526611328,40340,0.0,0.0,NILKAMAL.NS
2010-03-12 00:00:00+05:30,210.57254406795357,210.57254406795357,203.19512760911635,204.92355346679688,23075,0.0,0.0,NILKAMAL.NS
2010-03-15 00:00:00+05:30,203.2372669226462,214.66172472048106,203.19510768826166,208.2960662841797,151979,0.0,0.0,NILKAMAL.NS
2010-03-16 00:00:00+05:30,208.2539359854238,211.58431012146366,205.3029692811769,208.08531188964844,25394,0.0,0.0,NILKAMAL.NS
2010-03-17 00:00:00+05:30,209.09706375390644,212.8068452228177,205.05002123724375,207.53726196289062,29301,0.0,0.0,NILKAMAL.NS
2010-03-18 00:00:00+05:30,205.9774698974762,212.30096971300335,205.76668657029197,206.98922729492188,34221,0.0,0.0,NILKAMAL.NS
2010-03-19 00:00:00+05:30,209.09703311939182,219.6361980951676,206.65195199108848,211.4156494140625,288306,0.0,0.0,NILKAMAL.NS
2010-03-22 00:00:00+05:30,209.097060361481,217.35975648683652,207.4107937456626,209.05490112304688,108237,0.0,0.0,NILKAMAL.NS
2010-03-23 00:00:00+05:30,210.78331078676388,213.73427713777858,206.82058711701117,209.01272583007812,20859,0.0,0.0,NILKAMAL.NS
2010-03-25 00:00:00+05:30,208.2960567617953,213.86072808597447,208.2960567617953,211.03623962402344,29207,0.0,0.0,NILKAMAL.NS
2010-03-26 00:00:00+05:30,213.31275000554808,219.5941041219779,209.18140149539204,212.1745147705078,177632,0.0,0.0,NILKAMAL.NS
2010-03-29 00:00:00+05:30,214.83034215299276,214.83034215299276,206.56763421149464,207.5793914794922,33131,0.0,0.0,NILKAMAL.NS
2010-03-30 00:00:00+05:30,209.09705685060646,217.48624341559776,208.4225476425659,212.63821411132812,109914,0.0,0.0,NILKAMAL.NS
2010-03-31 00:00:00+05:30,214.49310680873964,228.4469783902585,214.49310680873964,217.0225067138672,474745,0.0,0.0,NILKAMAL.NS
2010-04-01 00:00:00+05:30,219.0038744122403,227.14010560140122,219.0038744122403,224.6528778076172,174378,0.0,0.0,NILKAMAL.NS
2010-04-05 00:00:00+05:30,223.4303479316907,226.8028814853766,220.90094776642627,221.95486450195312,35040,0.0,0.0,NILKAMAL.NS
2010-04-06 00:00:00+05:30,223.3881810033239,230.13324749016803,222.20777378381683,225.20091247558594,82142,0.0,0.0,NILKAMAL.NS
2010-04-07 00:00:00+05:30,225.11659979126873,231.18717007779497,220.31072950356986,223.80975341796875,109861,0.0,0.0,NILKAMAL.NS
2010-04-08 00:00:00+05:30,222.629351955238,229.33227241541735,220.6901555321158,222.54505920410156,63194,0.0,0.0,NILKAMAL.NS
2010-04-09 00:00:00+05:30,225.4116926306295,228.48912402585992,223.47247060472435,224.6528778076172,56756,0.0,0.0,NILKAMAL.NS
2010-04-12 00:00:00+05:30,225.95971723922955,238.18514970179982,223.89403042753761,232.1988983154297,446469,0.0,0.0,NILKAMAL.NS
2010-04-13 00:00:00+05:30,234.81262941764646,239.87142933328695,231.060675854725,233.7587127685547,203794,0.0,0.0,NILKAMAL.NS
2010-04-15 00:00:00+05:30,234.39100372513542,238.1851027062977,223.4302733351111,226.1704559326172,61281,0.0,0.0,NILKAMAL.NS
2010-04-16 00:00:00+05:30,226.80285580718197,228.23619269737438,222.79797266560533,224.9479522705078,23113,0.0,0.0,NILKAMAL.NS
2010-04-19 00:00:00+05:30,221.74406173263654,226.67639676896457,218.3715284743455,223.55679321289062,72598,0.0,0.0,NILKAMAL.NS
2010-04-20 00:00:00+05:30,225.11658828384245,230.5969546652843,223.55678655227794,226.33914184570312,67650,0.0,0.0,NILKAMAL.NS
2010-04-21 00:00:00+05:30,228.23621659572441,234.77050030038885,226.2126758964205,227.73033142089844,170353,0.0,0.0,NILKAMAL.NS
2010-04-22 00:00:00+05:30,227.64598402080856,231.60872070147315,227.64598402080856,228.1940155029297,35347,0.0,0.0,NILKAMAL.NS
2010-04-23 00:00:00+05:30,230.51262554391232,230.51262554391232,224.27344463620025,227.3508758544922,29999,0.0,0.0,NILKAMAL.NS
2010-04-26 00:00:00+05:30,227.73026227382724,230.09102473235126,226.04399602334408,226.9292755126953,19117,0.0,0.0,NILKAMAL.NS
2010-04-27 00:00:00+05:30,225.95969437813085,229.7537937240323,223.6832244784368,227.26654052734375,37542,0.0,0.0,NILKAMAL.NS
2010-04-28 00:00:00+05:30,218.3714785262194,224.65283057520702,216.68521228277368,219.0459747314453,73746,0.0,0.0,NILKAMAL.NS
2010-04-29 00:00:00+05:30,220.05778024344255,225.79107610322498,217.73916378493885,219.67835998535156,118142,0.0,0.0,NILKAMAL.NS
2010-04-30 00:00:00+05:30,223.13525486956203,223.13525486956203,216.8539263171801,219.00390625,31229,0.0,0.0,NILKAMAL.NS
2010-05-03 00:00:00+05:30,217.73914649362945,229.3322278655071,217.65482802848464,225.36949157714844,245183,0.0,0.0,NILKAMAL.NS
2010-05-04 00:00:00+05:30,225.4960200376042,225.4960200376042,206.56766643348317,218.07643127441406,262073,0.0,0.0,NILKAMAL.NS
2010-05-05 00:00:00+05:30,212.89118647881688,217.48627386526803,209.09708612572905,212.34315490722656,49060,0.0,0.0,NILKAMAL.NS
2010-05-06 00:00:00+05:30,212.46960263663223,216.68526935561303,209.13922850167617,214.19802856445312,39444,0.0,0.0,NILKAMAL.NS
2010-05-07 00:00:00+05:30,210.7833314460565,211.62646477184074,204.08042407911063,205.6402130126953,37531,0.0,0.0,NILKAMAL.NS
2010-05-10 00:00:00+05:30,208.25390936830348,217.02248987983938,208.25390936830348,214.74603271484375,33907,0.0,0.0,NILKAMAL.NS
2010-05-11 00:00:00+05:30,209.94016172042043,220.05775987562143,209.94016172042043,214.91464233398438,36736,0.0,0.0,NILKAMAL.NS
2010-05-12 00:00:00+05:30,214.9989736522777,218.37150657231342,211.62644073224197,214.53524780273438,18800,0.0,0.0,NILKAMAL.NS
2010-05-13 00:00:00+05:30,218.7087662132209,219.21465132389162,212.59604997438163,213.945068359375,26246,0.0,0.0,NILKAMAL.NS
2010-05-14 00:00:00+05:30,215.2097778389751,224.2734609409104,212.80684275424517,215.08331298828125,147259,0.0,0.0,NILKAMAL.NS
2010-05-17 00:00:00+05:30,211.62645059940772,212.68036718605816,205.72451771416527,207.66372680664062,65939,0.0,0.0,NILKAMAL.NS
2010-05-18 00:00:00+05:30,208.6754840481587,216.68525010253245,206.6519693489203,209.85586547851562,70513,0.0,0.0,NILKAMAL.NS
2010-05-19 00:00:00+05:30,210.7833447952636,219.21467858707413,206.73630200215564,213.3549041748047,60599,0.0,0.0,NILKAMAL.NS
2010-05-20 00:00:00+05:30,207.53728457579837,215.75783535698176,207.53728457579837,210.53041076660156,33008,0.0,0.0,NILKAMAL.NS
2010-05-21 00:00:00+05:30,250.41059054840903,250.41059054840903,205.7245255683899,208.8441162109375,22464,0.0,0.0,NILKAMAL.NS
2010-05-24 00:00:00+05:30,214.91471439272584,215.7578478550201,209.09709864897377,209.98239135742188,30572,0.0,0.0,NILKAMAL.NS
2010-05-25 00:00:00+05:30,209.8558809733426,209.8558809733426,200.03338281170113,201.677490234375,11565,0.0,0.0,NILKAMAL.NS
2010-05-26 00:00:00+05:30,210.36175352562103,210.36175352562103,200.8343448810814,201.9725799560547,13068,0.0,0.0,NILKAMAL.NS
2010-05-27 00:00:00+05:30,203.57451428551423,205.72450657894737,201.5088404605263,204.2490234375,9806,0.0,0.0,NILKAMAL.NS
2010-05-28 00:00:00+05:30,207.36862819237552,210.69900208416064,204.8813875828243,208.21176147460938,33033,0.0,0.0,NILKAMAL.NS
2010-05-31 00:00:00+05:30,231.3557548627388,231.3557548627388,210.02449427944418,216.68524169921875,40374,0.0,0.0,NILKAMAL.NS
2010-06-01 00:00:00+05:30,226.76069248453175,226.76069248453175,213.31270717483417,216.47445678710938,77620,0.0,0.0,NILKAMAL.NS
